l,Dl_Planck,Dl_H73_Tension,Dl_TRXT_Fixed
1482,258016717.08388934,234933974.5050946,258421584.43831792
1483,257479521.39333004,234157867.98742056,257882830.99948508
1484,256932738.14959848,233377200.23298323,257331496.58477455
1485,256371068.16508508,232586783.50532603,256767591.18244752
1486,255799632.4972117,231791851.4465627,256191124.0290333
1487,255213115.27854735,230987201.9193767,255602103.63170952
1488,254616649.00758153,230178082.30947325,255000537.79100144
1489,254010147.10211968,229364522.09044424,254387720.54617202
1490,253389581.97315517,228542610.90889505,253763671.2623799
1491,252758793.68257916,227716307.25318956,253128310.1999275
1492,252117165.16432986,226885113.68541113,252481821.49464083
1493,251464866.41984603,226049321.04739717,251822830.46376735
1494,250801803.58019963,225208957.53322047,251153515.4057513
1495,250128410.39698526,224364580.1901877,250474739.07381958
1496,249444857.48781034,223516484.17419565,249783484.92573822
1497,248751580.8290178,222665231.2520721,249081687.29658616
1498,248048487.1137676,221810855.16902235,248370712.8743418
1499,247336013.5503306,220953921.4560314,247649049.84439793
1500,246614332.86741886,220094732.44404113,246919246.9137821
1501,245883617.96523687,219233563.14810264,246179585.70079368
1502,245144575.31796014,218371108.04499438,245430838.60944766
1503,244396845.44500887,217506967.3414934,244674124.00808907
1504,243640869.20508242,216641541.97350588,243908268.50408694
1505,242877089.26317635,215775235.07902378,243134561.68894428
1506,242105413.4779206,214907915.39111635,242351657.32023582
1507,241326017.38830504,214039719.7300163,241562126.502395
1508,240539346.01803958,213171054.81254426,240767014.96728587
1509,239745576.90782002,212302060.2891403,239963099.8246284
1510,238944888.10351613,211432876.73651308,239153816.44419363
1511,238137458.18282282,210563645.68844423,238335592.50516582
1512,237324277.66318652,209695321.04755718,237512902.73325238
1513,236504987.85369942,208827507.94073927,236685322.31695956
1514,235680312.52462408,207960894.39187482,235849783.69764274
1515,234850707.42716455,207095900.844504,235009811.84501904
1516,234016086.64466026,206232406.51557907,234164969.82161868
1517,233176908.0451123,205370834.85022536,233315530.51401934
1518,232333631.68089134,204511611.92335257,232461539.50932196
1519,231486173.88634077,203654620.5388287,231603540.0721111
1520,230634997.03577888,202800289.98871553,230741822.8088961
1521,229780292.10790402,201948778.61856994,229876944.40194288
1522,228922250.97326586,201100246.1154703,229008942.66645703
1523,228061066.43119413,200254853.5451577,228138374.72914502
1524,227197207.01610604,199413038.1582123,227265541.8651173
1525,226330868.5799677,198574964.9720377,226390715.37423766
1526,225462523.50953507,197741075.98727822,225514558.1660144
1527,224592095.0172141,196911264.47750825,224636747.18361634
1528,223720058.42009005,196085976.26674253,223757612.34532508
1529,222846891.644791,195265660.23243123,222877549.87849018
1530,221972521.39848816,194450214.4742449,221996491.08860743
1531,221097428.7829788,193640091.92559224,221114535.85573694
1532,220221542.31516165,192835193.37118402,220232044.8367958
1533,219345624.45810622,192036253.97484362,219349198.61663976
1534,218469606.78866044,191243178.44350994,218466135.27547795
1535,217593699.5915257,190456150.61736456,217582993.81418455
1536,216718393.71351987,189675635.31980485,216700540.9847011
1537,215843344.52188814,188901262.31112444,215818694.9139739
1538,214969605.1999935,188134059.57923633,214937868.51587433
1539,214097114.0585051,187373940.6455598,214058544.78532186
1540,213226090.13209462,186621100.15608355,213180754.39863795
1541,212356754.10727927,185875734.80324787,212304754.62969786
1542,211489890.95223853,185138605.9494765,211430963.68097442
1543,210625163.64139652,184409353.3451549,210559442.90037158
1544,209763362.09975377,183688744.0660408,209690427.9196865
1545,208904151.41557097,182976420.71871763,208824171.37583235
1546,208048326.62096637,182273156.21365416,207960829.81582853
1547,207196121.3061681,181579162.3716191,207100561.10675067
1548,206347203.99902993,180894086.29506296,206243682.97014943
1549,205502377.66306496,180218709.85772842,205390472.82159528
1550,204661597.51000518,179552967.5085017,204541243.70109043
1551,203825103.82724383,178897063.0335006,203696140.60019347
1552,202993138.70854685,178251137.94278812,202855341.28176716
1553,202166231.58441728,177615604.87009135,202019285.70918438
1554,201344058.39192888,176990022.74704924,201188151.48879364
1555,200527152.43296155,176374807.65060943,200362095.17103988
1556,199715764.217452,175770092.63519275,199541315.69317716
1557,198910146.44581443,175176012.7037876,198726074.4121607
1558,198110554.03595236,174592704.823401,197916750.6392053
1559,197317244.14948016,174020307.93949088,197113361.64848864
1560,196530188.31827247,173458675.09050483,196316195.3844848
1561,195749647.15966314,172907948.11085385,195525404.21006006
1562,194976172.24475083,172368559.48678216,194741111.57594475
1563,194209451.94190738,171840078.18723795,193963958.03082523
1564,193450331.53168237,171323229.76594263,193193947.4093413
1565,192698502.65086126,170817585.79242232,192431271.7683801
1566,191954526.7323299,170323587.27866057,191676284.6638557
1567,191218097.65358514,169840807.31421635,190929435.14802608
1568,190489781.34811592,169369690.6640385,190190651.84849474
1569,189769856.4681969,168910394.41752207,189460425.30752358
1570,189058020.95006168,168462494.53978002,188738650.88870385
1571,188355140.15048763,168026733.99416628,188025975.35655633
1572,187660623.20143995,167602399.08270207,187322502.12540293
1573,186975048.17578763,167189944.59742305,186628076.512572
1574,186298704.1028304,166789535.82138947,185943337.63984326
1575,185631589.12669498,166401046.67242295,185268257.94542268
1576,184973702.49392137,166024351.67589247,184603030.35539258
1577,184325632.9804693,165659914.37678427,183947822.3641545
1578,183687384.32270446,165307612.75561866,183302964.60058585
1579,183059256.36064595,164967620.35649714,182668084.86108243
1580,182440960.9436973,164639522.17750636,182043576.65509892
1581,181833096.70842907,164323789.4330487,181429570.9386499
1582,181235674.3338458,164020304.79353592,180826200.55318758
1583,180648705.71460387,163728951.54291338,180233600.24029776
1584,180072203.9765091,163449613.57834852,179652030.71371758
1585,179506183.4921048,163182175.40989408,179081306.40782374
1586,178951255.0411123,162927117.30489287,178521482.72628707
1587,178407139.84058043,162684029.30198112,177972982.19969246
1588,177873857.22567183,162452798.87562206,177435403.37278187
1589,177351726.54189855,162233612.81198418,176909410.9099717
1590,176840770.89141092,162026360.93877017,176394651.10370415
1591,176341014.7215295,161830933.69719073,175891492.56292158
1592,175852783.66837373,161647521.9689375,175399594.64506838
1593,175375805.84419015,161475718.3467633,174919301.03915778
1594,174910410.4108824,161315715.6911734,174450801.87275633
1595,174456628.49088806,161167408.02437723,173993761.61810416
1596,174014191.29882067,161030388.6449229,173548728.34633076
1597,173583735.12194195,160905155.09108278,173115251.89816833
1598,173164994.45564342,160791302.25917408,172693558.6043669
1599,172757703.75977084,160688424.14265314,172283870.4927462
1600,172362808.86125585,160597325.21745175,171886128.19641075
1601,171979442.39594284,160517006.8298886,171500208.2046406
1602,171607948.86675698,160447725.2373096,171126416.59544298
1603,171248371.96330425,160389446.2118905,170764791.87231284
1604,170900756.92798823,160342136.45369935,170415419.9175419
1605,170565150.56945252,160305763.58712336,170078071.1148101
1606,170241296.15315554,160279991.03440246,169752925.6938779
1607,169929548.02046484,160265092.61766422,169440065.96627712
1608,169629651.87004247,160260732.8232397,169139376.961272
1609,169341659.75520155,160266881.7819502,168850744.30071366
1610,169065625.3512664,160283510.51940444,168574054.1987363
1611,168801603.96458405,160310590.9479653,168309540.03982943
1612,168549652.54059148,160348095.8577995,168057170.25031605
1613,168309521.88379326,160395691.11987457,167816705.2004697
1614,168081271.09306562,160453350.1043305,167588193.9190586
1615,167864960.92296663,160521047.02491617,167371666.5525988
1616,167660653.78751546,160598756.92596424,167167015.08569875
1617,167468104.44774482,160686146.3532204,166974277.37547323
1618,167287377.49542513,160783190.8209364,166793361.0190477
1619,167118229.10402492,160889556.54630375,166624136.67126545
1620,166960726.03927246,161005219.44360358,166466663.83248535
1621,166814936.72399515,161130156.17276266,166320712.19174477
1622,166680620.00403887,161264032.88912794,166186246.2701303
1623,166557846.45247778,161406826.53168288,166063406.27834913
1624,166446376.28466928,161558202.72227204,165951793.50572416
1625,166346282.19388828,161718138.58557934,165851437.41995838
1626,166257638.4954335,161886611.87776428,165762519.94567627
1627,166179894.81324473,162062974.65780693,165684462.55290493
1628,166113439.90080544,162247517.09334654,165617428.59335354
1629,166058037.7931112,162439903.59780523,165561384.69491205
1630,166013452.55461797,162639797.56372145,165516298.38170493
1631,165979762.95404646,162847176.02317986,165482059.82506147
1632,165956734.2176795,163061701.3869832,165458484.6214886
1633,165944131.54559916,163283034.94702375,165445705.67847416
1634,165942351.79250413,163511468.5435025,165443456.49367166
1635,165950846.1231923,163746347.2070897,165451707.88269773
1636,165969380.68938547,163987329.8227123,165470431.52499232
1637,165998355.55007228,164234708.03714976,165499599.95604065
1638,166037221.525263,164487823.1003411,165539142.7195726
1639,166086063.29371268,164746648.95096305,165588770.0169054
1640,166144648.7192713,165010841.53094625,165648455.7694564
1641,166212745.4481613,165280055.37123194,165718174.713183
1642,166290439.831658,165554262.50325134,165797878.4758951
1643,166377500.16238925,165833115.68434614,165887257.9811269
1644,166474014.15970924,166116585.87258872,165986275.32778242
1645,166579430.53557867,166404003.7824364,166094611.07449758
