v_kms,beta,sigmaT_over_m_num_cm2g,sigmaT_over_m_fit_cm2g,ratio_num_fit,lmax,h_GeVinv,Rmatch_GeVinv,delta_std_mean_lowL,delta_std_max_lowL,match_r_pts_GeVinv
60.531037656495506,1471.7580450037933,42.5790321556608,5.158850975817585,8.253588319424711,26,0.25,1000.0,0.0008296145335269421,0.015538023656313687,"900.0,950.0,1000.0"
67.46296557296372,1184.845708292602,38.95848529103543,4.887876174200343,7.97043212687544,26,0.25,1000.0,0.0009107255769020821,0.015675667094205346,"900.0,950.0,1000.0"
75.18872796674246,953.8655876386134,35.03271868336338,4.487729075760357,7.806335474346293,26,0.25,1000.0,0.0009805255315827293,0.015011481489250508,"900.0,950.0,1000.0"
83.79923362755972,767.9139595249834,30.80719246665461,4.159719091711532,7.406075215040272,26,0.25,1000.0,0.0010209239511990496,0.012995216524719893,"900.0,950.0,1000.0"
93.39580208980858,618.2127302581251,26.271551242795596,3.8556777244002562,6.813731105309661,26,0.25,1000.0,0.0010007738944659594,0.014634791487628326,"900.0,950.0,1000.0"
104.0913558561467,497.69505439075317,21.414746171393507,3.5738516407237944,5.9920635561291755,26,0.25,1000.0,0.0008975475796754438,0.016901200754209582,"900.0,950.0,1000.0"
116.01174915283778,400.6717348922786,16.310484360873343,3.31261515429156,4.923748640026228,26,0.25,1000.0,0.0014747371292195871,0.01863039292461129,"900.0,950.0,1000.0"
129.29724885225633,322.56265704329417,11.348970474008453,3.0704607335491323,3.6961783454857042,27,0.25,1000.0,0.0022748451891642972,0.0322547199997193,"900.0,950.0,1000.0"
144.1041849885199,259.6805780342926,7.497051072471616,2.845990150812255,2.634250533274661,27,0.25,1000.0,0.0031381979145495655,0.05345669496222229,"900.0,950.0,1000.0"
160.60679028781348,209.05706576931306,5.629351479800927,2.637906208259937,2.1340226055702947,27,0.25,1000.0,0.003418522729772517,0.061983443971485266,"900.0,950.0,1000.0"
178.99925035909698,168.3023700844634,4.733358882713989,2.445004976122244,1.9359301633083192,27,0.25,1000.0,0.00302248393116945,0.046347094770301515,"900.0,950.0,1000.0"
199.4979886697221,135.49261141598595,3.23565322590945,2.266168475832045,1.4278078882557264,28,0.25,1000.0,0.002974887462991778,0.031966076792132474,"900.0,950.0,1000.0"
222.344213193192,109.0789615090396,2.5413871641058847,2.1003577364211132,1.2099782432473907,28,0.25,1000.0,0.0037770742834065635,0.05497875769337629,"900.0,950.0,1000.0"
247.80675469538045,87.81452892188292,4.030592364539529,1.94660614548654,2.0705741497246284,29,0.25,1000.0,0.003992869198946632,0.0477592911314779,"900.0,950.0,1000.0"
276.1852300572342,70.69549785852291,4.603085577796105,1.804013006142296,2.5515811483196287,29,0.25,1000.0,0.004054819877285077,0.03435869574116429,"900.0,950.0,1000.0"
307.81356785666856,56.91374171021704,3.627146159903807,1.6717371980412605,2.1696868168954175,30,0.25,1000.0,0.004241432103516718,0.05382118858756769,"900.0,950.0,1000.0"
343.0639376950643,45.81867436508594,2.7642374047891556,1.548990823551616,1.78454085250883,30,0.25,1000.0,0.005568808175372235,0.034473515799430726,"900.0,950.0,1000.0"
382.3511295046159,36.88653842621829,1.6694706919688036,1.435032699839752,1.1633677003703338,31,0.25,1000.0,0.005308578256601677,0.05175551247162659,"900.0,950.0,1000.0"
426.13743436770113,29.69568054779156,1.5109615711380948,1.329161535659599,1.1367779841659933,32,0.25,1000.0,0.006038964299142782,0.04372419528635342,"900.0,950.0,1000.0"
474.9380842807065,23.906646728598876,1.96684187440081,1.2307086126512363,1.5981377347833532,32,0.25,1000.0,0.006371814705673551,0.04315853633916633,"900.0,950.0,1000.0"
529.3273148718341,19.246157934862687,1.6589197400269913,1.1390297851392575,1.4564322739147442,33,0.25,1000.0,0.0069794199868178,0.048667834154600596,"900.0,950.0,1000.0"
589.9451224126816,15.494209600318424,1.182767195670306,1.0534966406792754,1.1227061862367966,34,0.25,1000.0,0.007380328024709713,0.04735943711841844,"900.0,950.0,1000.0"
657.5047946331338,12.473686018326498,1.2903492271454358,0.9734867660028814,1.325492315055895,35,0.25,1000.0,0.0076353105656420195,0.046007829846378766,"900.0,950.0,1000.0"
732.8013039544147,10.041999359592761,1.197651315980718,0.8983733122951596,1.3331332304618049,37,0.25,1000.0,0.008284887457070858,0.04570246218613457,"900.0,950.0,1000.0"
816.7206619031848,8.084358624219288,1.0187976089680808,0.8275145737705553,1.2311536754282741,38,0.25,1000.0,0.009318593483807215,0.043377634746922286,"900.0,950.0,1000.0"
910.250344779777,6.508350780022285,1.0104343167328984,0.7602452768432285,1.329089897050767,40,0.25,1000.0,0.009441497415176811,0.03667672732459432,"900.0,950.0,1000.0"
1014.4909132590565,5.23957828255142,0.8867941029865158,0.6958729783438237,1.2743620324173013,41,0.25,1000.0,0.00999304188769526,0.04201130667828967,"900.0,950.0,1000.0"
1130.66896265136,4.218147040146252,0.8082639566417955,0.6336856115980181,1.2754967792365186,43,0.25,1000.0,0.009866746797416143,0.039713727537331475,"900.0,950.0,1000.0"
1260.1515562088168,3.395839033753369,0.7085025167277507,0.5729796669222118,1.236522965175198,46,0.25,1000.0,0.009780200925978234,0.03762572068427259,"900.0,950.0,1000.0"
1404.462311313267,2.733836121265982,0.6079017789018023,0.5131215170877854,1.184713091651157,48,0.25,1000.0,0.009606199484891715,0.03739968396103365,"900.0,950.0,1000.0"
1565.29932783144,2.2008875755450297,0.5102551302892614,0.4536534496650019,1.1247685445047464,51,0.25,1000.0,0.010177281725988334,0.03444310440351542,"900.0,950.0,1000.0"
1744.5551695997372,1.7718348523193035,0.41466236031306114,0.39444435752609336,1.0512569197687922,54,0.25,1000.0,0.010327213256132535,0.03389698160009462,"900.0,950.0,1000.0"
1944.3391341601011,1.4264239476729836,0.3278945327214099,0.33585555294748504,0.9762962971545093,57,0.25,1000.0,0.01043949973902891,0.031734768176923944,"900.0,950.0,1000.0"
2167.0020727941915,1.1483492808777338,0.2525356058996533,0.27884772075253267,0.9056398424851017,61,0.25,1000.0,0.010756490894912797,0.027966454138415187,"900.0,950.0,1000.0"
2415.164052912413,0.924483967787906,0.18907125540997757,0.2249248767201999,0.8405973503996927,65,0.25,1000.0,0.01085960205570365,0.026477712900300356,"900.0,950.0,1000.0"
2691.745188300192,0.7442601488317298,0.13982759869195546,0.1758482087851597,0.7951607790488674,69,0.25,1000.0,0.011586991283108989,0.024386294250435953,"900.0,950.0,1000.0"
3000.000000000001,0.599170119157878,0.10198541532571682,0.13317891035422066,0.7657775172845506,75,0.25,1000.0,0.01167038399558992,0.02213418139419452,"900.0,950.0,1000.0"
